Gender,Age,TeachingExp,EmotionalLabor,SurfaceActing,DeepActing,EmotionalExpression,CareerCommitment,SocialSupport,SubjectiveSupport,ObjectiveSupport,SupportUtilization,Wellbeing,HealthWorries,EnergyLevel,LifeSatisfaction,Depressed,EmotionalBehaviorControl,Relaxed
2,36,4,38,9,16,13,18,27,15,7,5,80,7,23,3,18,11,18
2,30,3,40,8,19,13,26,46,29,11,6,85,8,18,10,17,12,20
2,22,0,33,3,15,15,25,38,25,6,7,76,10,17,5,14,12,18
2,33,11,41,9,17,15,21,34,16,9,9,83,11,17,4,18,15,18
2,24,1,36,12,13,11,35,38,24,9,5,74,7,17,7,16,10,17
2,30,8,41,10,17,14,22,41,24,10,7,81,11,15,5,17,15,18
2,30,6,46,13,20,13,35,48,27,12,9,77,7,21,7,12,13,17
2,33,8,34,9,16,9,28,38,26,5,7,74,7,19,5,9,15,19
2,36,10,35,8,16,11,26,47,26,10,11,60,6,14,6,13,10,11
2,30,2,26,4,13,9,20,37,18,10,9,67,13,12,4,13,7,18
2,24,2,42,12,18,12,19,33,16,9,8,59,6,12,5,13,9,14
2,33,4,29,8,12,9,27,41,20,10,11,71,15,11,4,10,11,20
2,35,7,41,13,16,12,21,20,9,4,7,58,7,13,5,11,10,12
2,30,2,41,11,17,13,35,47,30,7,10,83,6,23,7,17,14,16
2,35,8,40,8,19,13,21,30,13,10,7,77,7,20,7,18,10,15
2,31,6,40,7,19,14,24,43,22,9,12,83,6,20,7,19,11,20
2,29,3,34,7,15,12,22,45,24,12,9,66,10,19,2,10,8,17
2,38,16,36,10,18,8,13,48,26,12,10,85,11,19,8,17,13,17
2,35,6,35,8,16,11,20,40,24,9,7,48,8,11,3,5,13,8
2,26,4,33,5,14,14,22,38,25,7,6,51,5,10,6,8,10,12
2,30,7,39,5,20,14,22,34,21,6,7,62,5,16,6,12,11,12
1,33,4,40,12,16,12,28,38,21,8,9,67,5,13,7,14,10,18
2,36,5,37,9,17,11,24,48,28,10,10,59,5,10,5,19,9,11
